"id","source","source_accessed","source_identifier","short_title","author","year","gender","translator","title","publication","format","catalogue_numbers","notes","further_editions","scan_identifiers_space_separated_semicolon_separates_volumes_of_same_edition","scan_notes_volumes_missing,_second_edition_etc_semicolon_comments_on_corresponding_edition_in_scan_field"
1,"GARSIDE1800-1829",20100817,"1800A001","Alphonso di Borgo","ANON",1800,"Unknown",,"ALPHONSO DI BORGO; OR, A SENTIMENTAL CORRESPONDENCE OF THE SIXTEENTH CENTURY","London:                     Printed for J. and T. Carpenter, Old Bond Street, 1800","1 vol.  (iv, 147p). 8&deg;","BL 012612.df.31; EM 334: 6; EN2 1800: 1; ESTC t068057; OCLC 10009049","Dedication to Lady Harry Parker signed 'The Author, London, June 1800'",,,
2,"GARSIDE1800-1829",20100817,"1800A002","Aluredus","ANON",1800,"Unknown",,"ALUREDUS, KNIGHT OF MALTA. IN THREE VOLUMES","London:                     Printed by J. D. Dewick, Aldersgate Street, for R. Dutton, 10, Birchin Lane, Cornhill, 1800","3 vols (I 276p; II 288p; III 312p). 12&deg;","Corvey; CME 3-628-47050-1; EN2 1800: 2; ESTC n031338; OCLC 41952545",,,,
3,"GARSIDE1800-1829",20100817,"1800A003","Baronet, The","ANON",1800,"Unknown",,"THE BARONET: A NOVEL. FOUNDED ON FACTS. IN THREE VOLUMES","London:                     Printed by J. D. Dewick, 20, Aldersgate Street; for R. Dutton, 10, Birchin Lane, Cornhill, 1800","3 vols (I 226p; II 220p; III 177p). 12&deg;","Corvey; CME 3-628-47107-9; EN2 1800: 3; ESTC n032364; xOCLC",,,,
4,"GARSIDE1800-1829",20100817,"1800A004","Horatio, of Holstein","ANON",1800,"Unknown",,"HORATIO, OF HOLSTEIN. IN THREE VOLUMES","London:                     Printed for R. Dutton, Birchin-Lane, Cornhill, 1800","3 vols (I 264p; II 240p; III 248p). 12&deg;","Corvey; CME 3-628-47683-6; EN2 1800: 5; EM 998: 4; ESTC n001748; xOCLC",,,,
5,"GARSIDE1800-1829",20100817,"1800A005","Idalia","ANON",1800,"Unknown",,"IDALIA. A NOVEL. FOUNDED ON FACTS. IN TWO VOLUMES","London:                     Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800","2 vols (I 251p; II 269p). 12&deg;","Corvey; CME 3-628-47869-3; EN2 1800: 6; ESTC t129873; OCLC 45827298","List of subscribers (8 pp. unn.) at beginning of vol. 1",,,
6,"GARSIDE1800-1829",20100817,"1800A006","Julia Colville","ANON",1800,"Unknown",,"JULIA COLVILLE. IN THREE VOLUMES","Chester:                     Printed and sold by W. Minshull, at the Eastgate. Sold also by Crosby and Letterman, No. 4, Stationers-Court, near Paternoster-Row, London, 1800","3 vols (I iv, 222p; II iv, 189p; III iv, 191p). 12&deg;","University of Alberta PR.3991.A1.J94.1800; EN2 1800: 7; ESTC n055261; OCLC 29228205",,,,
7,"GARSIDE1800-1829",20100817,"1800A007","Lord of Hardivyle, The","ANON",1800,"Unknown",,"THE LORD OF HARDIVYLE, AN HISTORICAL LEGEND OF THE FOURTEENTH CENTURY","London:                     Printed for W. Treppass, No. 31, St. Martin's-Le-Grand. J. Rider, Printer, Little-Britain, 1800","1 vol.  (174p). 12&deg;","Corvey; CME 3-628-48113-9; EN2 1800: 8; xESTC; xOCLC",,,,
8,"GARSIDE1800-1829",20100817,"1800A008","Midsummer Eve","ANON",1800,"Unknown",,"MIDSUMMER EVE, OR THE COUNTRY WAKE. A TALE OF THE SIXTEENTH CENTURY. IN TWO VOLUMES","Newcastle upon Tyne:                     Printed for the Author by Edward Walker, Pilgrim-Street; and sold by Joseph Mawman, Poultry, London, 1800","2 vols (I 157p; II 179p). 12&deg;","Corvey; CME 3-628-48129-5; ECB 383; EN2 1800: 9; xESTC; xOCLC","ECB dates Jan 1801, with Mawman as publisher","French trans., 1801 [as <i>La Soirée d'été</i>, spuriously attributed to M. G. Lewis (MLC)]",,
9,"GARSIDE1800-1829",20100817,"1800A009","Mysterious Penitent, The","ANON",1800,"Unknown",,"THE MYSTERIOUS PENITENT; OR, THE NORMAN CHATEAU. A ROMANCE","Winchester:                     Printed and sold by Ja. Robbins; sold also by Crosby and Letterman, Stationer's-Court, Ludgate Hill, London, 1800","2 vols (I 227p; II 165p). 12&deg;","Corvey; CME 3-628-48180-5; ECB 403; EM 1289: 5; EN2 1800: 10; ESTC n010244; xOCLC","ECB dates Mar 1801, and gives Crosby as publisher","Dublin 1801 (NUC); New York (from 3rd London edn) 1834 (OCLC)",,
10,"GARSIDE1800-1829",20100817,"1800A010","Neighbourhood, The","ANON",1800,"Unknown",,"THE NEIGHBOURHOOD, A TALE. IN TWO VOLUMES","London:                     Printed for A. and J. Black, and H. Parry, Leadenhall-Street, 1800","2 vols (I iv, 234p; II iv, 263p). 12&deg;","BL C.175.n.19; EN2 1800: 11; ESTC t131306; OCLC 43882730",,,,
